"CODE_GESIS","NOM_DANS_GESIS","UID_DHIS2","NOM_DANS_DHIS2","DISTRICT","REGION",,,
220341021,"CSB2 Ambodigavo","NYPZpDVIg8V","CSB2 Ambodigavo","Antalaha","SAVA",,,
220341028,"CSB2 Ambodilalaona","i5TjySMEBvo","CSB2 Ambodilalona","Antalaha","SAVA",,,
220341003,"CSB2 Ambohitralalana","Zez37Y3eYgQ","CSB2 Ambohitralanana","Antalaha","SAVA",,,
220341013,"CSB2 Ambondrona","ZhyvUqoYNj4","CSB2 Ambondrona","Antalaha","SAVA",,,
220341004,"CSB2 Ampahana","s9iLQ3Qtgup","CSB2 Ampahana","Antalaha","SAVA",,,
220341007,"CSB2 Ampanavoana","Vpu0rd92FOo","CSB2 Ampanavoana","Antalaha","SAVA",,,
220341008,"CSB2 Ampohibe","l02XRIG96yf","CSB2 Ampohibe","Antalaha","SAVA",,,
220341012,"CSB2 Ankoalabe","WRIfjLPpYeW","CSB2 Ankoalabe","Antalaha","SAVA",,,
220341025,"CSB2 Antsahanoro","CZodQ9YHZ3p","CSB2 Antsahanoro","Antalaha","SAVA",,,
220341026,"CSB2 Antsambalahy","ibkU2EzuSf1","CSB2 Antsambalahy I","Antalaha","SAVA",,,
220343015,"CSB2 JIRAMA","OB4i4FwjT2O","FSP_ Jirama Antalaha","Antalaha","SAVA",,,
220341030,"CSB2 Marofinaritra","DzrDp08083r","CSB2 Marofinaritra","Antalaha","SAVA",,,
220341023,"CSB2 Maromandia","VPI3HUyAl5p","CSB2 Maromandia","Antalaha","SAVA",,,
220343016,"CSB2 Privé Mahevadoany","r20Yybdr0jf","FSP_Priv� Mahevadoany","Antalaha","SAVA",,,
220341033,"CSB2 Sarahandrano","Z83feUPlsL9","CSB2 Sarahandrano","Antalaha","SAVA",,,
220343017,"CSB2 SMIA Tanambao","e0ZLgJe4duU","FSP_ SMIA Tanambao","Antalaha","SAVA",,,
220341034,"CSB2 Vinanivao","BIBe2q0E1fW","CSB2 Vinanivao","Antalaha","SAVA",,,
