cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,140101,140143029,5,21,,,,,,,,,,,,
2015,140101,140143029,6,21,,,,,,,,,,,,
2015,140101,140143029,7,21,,,,,,,,,,,,
2015,140101,140143029,8,21,,,,,,,,,,,,
2015,140101,140143029,9,21,,,,,,,,,,,,
2015,140101,140143029,10,21,,,,,,,,,,,,
2015,140101,140143029,11,21,,,,,,,,,,,,
2015,140101,140143029,12,21,,,,,,,,,,,,
2015,140101,140143034,4,21,,,,,,,,,,,,
2015,140101,140143034,5,21,,,,,,,,,,,,
2015,140101,140143034,6,21,,,,,,,,,,,,
2015,140101,140143034,7,21,,,,,,,,,,,,
2015,140101,140143034,8,21,,,,,,,,,,,,
2015,140101,140143034,9,21,,,,,,,,,,,,
2015,140101,140143034,10,21,,,,,,,,,,,,
2015,140101,140143034,11,21,,,,,,,,,,,,
2015,140101,140143034,12,21,,,,,,,,,,,,
2015,140101,140152026,4,21,,,,,,,,,,,,
2015,140101,140152026,5,21,,,,,,,,,,,,
2015,140101,140152026,6,21,,,,,,,,,,,,
2015,140101,140152026,7,21,,,,,,,,,,,,
2015,140101,140152026,8,21,,,,,,,,,,,,
2015,140101,140152026,9,21,,,,,,,,,,,,
2015,140101,140152026,10,21,,,,,,,,,,,,
2015,140101,140152026,11,21,,,,,,,,,,,,
2015,140101,140152026,12,21,,,,,,,,,,,,
2015,140202,140243040,5,21,,,,,,,,,,,,
2015,140202,140243040,6,21,,,,,,,,,,,,
2015,140202,140243040,7,21,,,,,,,,,,,,
2015,140202,140243040,9,21,,,,,,,,,,,,
2015,140202,140243040,10,21,,,,,,,,,,,,
2015,140202,140243040,11,21,,,,,,,,,,,,
2015,140202,140243040,12,21,,,,,,,,,,,,
2015,140301,140342003,5,21,,,,,,,,,,,,
2015,140301,140342003,6,21,,,,,,,,,,,,
2015,140301,140342003,7,21,,,,,,,,,,,,
2015,140301,140342003,8,21,,,,,,,,,,,,
2015,140301,140342003,9,21,,,,,,,,,,,,
2015,140301,140342003,10,21,,,,,,,,,,,,
2015,140301,140342003,11,21,,,,,,,,,,,,
2015,140301,140342003,12,21,,,,,,,,,,,,
2015,140409,140442928,5,21,3,3,3,,,,24,24,24,,,
2015,140409,140442928,6,21,,,,,,,,,,,,
