cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cTOT_CONS_NC,cTOT_CONS,cTOT_ORD_PRES,cORD_SERV,cORD_FACT,cBS
2015,140101,140152026,08,21,108,149,,,,
2015,140101,140152026,09,21,143,150,,,,
2015,140101,140152026,10,21,181,192,,,,
2015,140101,140152026,11,21,174,179,,,,
2015,140101,140152026,12,21,170,174,,,,
2015,140202,140243040,05,21,211,299,299,,,
2015,140202,140243040,06,21,166,175,,,,
2015,140202,140243040,07,21,194,278,278,278,278,0
2015,140202,140243040,09,21,129,189,189,189,189,0
2015,140202,140243040,10,21,131,178,178,178,178,0
2015,140202,140243040,11,21,152,239,239,239,,
2015,140202,140243040,12,21,122,175,175,175,175,0
2015,140301,140342003,05,21,81,81,81,81,,
2015,140301,140342003,06,21,137,138,138,138,,
2015,140301,140342003,07,21,57,57,57,57,,
2015,140301,140342003,08,21,73,73,73,73,0,73
2015,140301,140342003,09,21,106,106,106,106,,
2015,140301,140342003,10,21,130,130,130,130,,
2015,140301,140342003,11,21,120,120,120,120,,
2015,140301,140342003,12,21,92,92,92,92,,
2015,140409,140442928,05,21,200,200,196,196,,
2015,140409,140442928,06,21,51,51,51,51,,
2015,140409,140442928,07,21,22,22,22,,,
2015,140409,140442928,08,21,43,43,43,,,
2015,140409,140442928,10,21,37,38,,,,
2015,140409,140442928,11,21,41,41,,,,
2015,140409,140442928,12,21,14,14,14,,,
2015,140413,140451310,05,21,112,151,145,132,130,2
2015,140413,140451310,06,21,101,118,110,105,102,3
2015,140413,140451310,07,21,126,144,139,132,130,2
2015,140413,140451310,08,21,116,155,141,132,128,4
2015,140413,140451310,09,21,102,130,114,110,107,3
2015,140413,140451310,10,21,119,135,130,125,123,2
2015,140413,140451310,11,21,113,136,123,115,113,2
2015,140413,140451310,12,21,109,127,125,120,120,
2015,140414,140441401,05,21,245,262,256,245,245,
2015,140414,140441401,06,21,194,236,236,228,228,
2015,140414,140441401,07,21,118,199,199,183,183,
2015,140414,140441401,08,21,110,123,119,116,116,0
2015,140414,140441401,09,21,265,265,184,181,181,
2015,140414,140441401,10,21,272,272,272,180,180,
2015,140414,140441401,11,21,266,288,271,271,271,
2015,140414,140441401,12,21,112,202,187,183,180,3
2015,210101,210142005,04,21,106,106,106,,,
2015,210101,210142005,05,21,97,97,97,,,
2015,210101,210142005,06,21,119,119,119,,,
2015,210101,210142005,07,21,123,123,123,,,
2015,210101,210142005,08,21,125,125,125,0,,
2015,210101,210142005,09,21,102,102,102,102,102,
2015,210101,210142005,10,21,146,146,146,146,146,
2015,210101,210142005,11,21,166,166,166,166,,
2015,210101,210142005,12,21,434,434,434,400,,
2015,210101,210142013,04,21,3,3,,,,
2015,210101,210142013,05,21,2,2,,,,
2015,210101,210142013,06,21,2,2,,,,
2015,210101,210142013,07,21,4,4,,,,
2015,210101,210142013,08,21,3,3,,,,
2015,210101,210142013,09,21,0,0,0,0,0,0
2015,210101,210142013,10,21,0,0,0,0,0,0
2015,210101,210142013,11,21,0,0,0,0,,
2015,210101,210143014,04,21,3,3,3,,,
2015,210101,210143014,05,21,11,11,11,,,
2015,210101,210143014,07,21,,,,,,
2015,210101,210143014,08,21,21,23,23,,,
2015,210101,210143014,09,21,45,45,45,,,
2015,210101,210143014,10,21,21,21,21,21,21,
2015,210101,210143014,11,21,134,134,134,120,120,
2015,210101,210143014,12,21,78,78,78,,,
2015,210202,210251003,05,21,42,42,35,35,35,0
2015,210202,210251003,06,21,70,70,65,65,65,0
2015,210202,210251003,07,21,70,70,60,60,60,0
2015,210202,210251003,08,21,49,49,45,45,45,0
2015,210202,210251003,09,21,38,38,35,35,35,0
2015,210202,210251003,10,21,35,35,28,28,28,0
2015,210202,210251003,11,21,50,50,46,46,46,0
2015,210202,210251003,12,21,80,80,75,75,75,0
2015,210402,210451005,05,21,25,49,49,49,49,0
2015,210402,210451005,06,21,37,64,64,64,64,
2015,210402,210451005,07,21,61,77,77,77,77,
2015,210402,210451005,08,21,57,57,56,56,56,
2015,210402,210451005,09,21,80,80,80,80,80,
2015,210402,210451005,10,21,113,115,113,113,113,
2015,210402,210451005,11,21,54,54,54,54,54,
2015,210402,210451005,12,21,70,70,70,70,70,
2015,210409,210451017,05,21,15,17,17,8,8,0
2015,210409,210451017,06,21,13,15,13,13,13,
2015,210409,210451017,07,21,12,14,12,9,9,
2015,210409,210451017,08,21,15,18,,,,
2015,210409,210451017,09,21,21,27,24,24,24,
2015,210409,210451017,10,21,20,23,23,14,14,
2015,210410,210442020,05,21,1078,1082,982,41,,
2015,210410,210442020,06,21,1109,1203,1058,37,,
2015,210410,210442020,07,21,1206,1318,1236,,,
2015,210410,210442020,08,21,1323,1418,1238,21,,
2015,210410,210442020,09,21,1370,1486,1226,,,
2015,210410,210442020,10,21,1249,1339,1160,,,
2015,210410,210442020,11,21,1501,1557,1342,,,
2015,210410,210442020,12,21,1194,1320,1173,,,
2015,220110,220141016,06,21,274,279,274,102,102,
2015,220110,220141016,07,21,214,221,199,172,172,
2015,220110,220141016,08,21,328,332,328,192,192,
2015,220110,220141016,09,21,273,279,273,153,153,
2015,220110,220141016,10,21,278,287,278,156,156,
2015,220110,220141016,11,21,304,311,304,126,126,
2015,220110,220141016,12,21,268,274,268,159,159,
2015,220118,220151026,05,21,84,101,101,63,63,
2015,220118,220151026,06,21,101,107,101,63,63,
2015,220118,220151026,07,21,132,138,138,98,95,3
2015,220118,220151026,10,21,70,85,85,72,72,0
2015,220206,220241012,02,21,62,64,64,23,23,
2015,220206,220241012,03,21,98,100,100,94,93,1
2015,220206,220241012,04,21,88,92,92,89,89,
2015,220206,220241012,05,21,112,116,116,114,114,
2015,220206,220241012,06,21,115,115,115,107,105,2
2015,220206,220241012,07,21,75,76,76,57,56,1
2015,220206,220241012,08,21,56,59,59,41,40,1
2015,220206,220241012,09,21,69,75,75,50,46,4
2015,220206,220241012,10,21,90,90,90,79,75,0
2015,220206,220241012,11,21,75,75,75,68,68,0
2015,220206,220241012,12,21,113,114,114,104,104,0
2015,220308,220341011,05,21,301,312,180,,,
2015,220308,220341011,06,21,144,150,144,,,
2015,220308,220341011,07,21,267,267,239,0,,
2015,220308,220341011,08,21,129,129,129,,,
2015,220308,220341011,09,21,115,115,115,,,
2015,220308,220341011,10,21,180,189,180,169,167,2
2015,220308,220341011,11,21,223,223,223,104,103,1
2015,220308,220341011,12,21,107,107,,,,
2015,220308,220342018,06,21,144,144,,,,
2015,220308,220342018,07,21,186,186,,,,
2015,220308,220342018,08,21,221,225,225,,,
