cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cIST_CLIDEP_INF15a,cIST_CLIDEP_1524a,cIST_CLIDEP_2549a,cIST_CLIDEP_5099a,cIST_CLIDEP_Total,cIST_CLIDEP_SEX_M,cIST_CLIDEP_SEX_F,cIST_CLIDEP_GAR_TDS,cIST_CLIDEP_GAR_PIST,cIST_CLIDEP_GAR_MSM,cIST_CLIDEP_GAR_TDI,cIST_CLIDEP_GAR_DET,cIST_CLIDEP_GAR_AUT,cIST_CLIDEP_TUB,cIST_CLIDEP_FE,cIST_CLIDEP_AUTRES,cIST_CLIRES_INF15a,cIST_CLIRES_1524a,cIST_CLIRES_2549a,cIST_CLIRES_5099a,cIST_CLIRES_Total,cIST_CLIRES_SEX_M,cIST_CLIRES_SEX_F,cIST_CLIRES_GAR_TDS,cIST_CLIRES_GAR_PIST,cIST_CLIRES_GAR_MSM,cIST_CLIRES_GAR_TDI,cIST_CLIRES_GAR_DET,cIST_CLIRES_GAR_AUT,cIST_CLIRES_TUB,cIST_CLIRES_FE,cIST_CLIRES_AUTRES,cIST_CLIPOS_INF15a,cIST_CLIPOS_1524a,cIST_CLIPOS_2549a,cIST_CLIPOS_5099a,cIST_CLIPOS_Total,cIST_CLIPOS_SEX_M,cIST_CLIPOS_SEX_F,cIST_CLIPOS_GAR_TDS,cIST_CLIPOS_GAR_PIST,cIST_CLIPOS_GAR_MSM,cIST_CLIPOS_GAR_TDI,cIST_CLIPOS_GAR_DET,cIST_CLIPOS_GAR_AUT,cIST_CLIPOS_TUB,cIST_CLIPOS_FE,cIST_CLIPOS_AUTRES,cNC_EG,cDEPSYP_EG,cSYPPOS_EG
2015,110305,110343014,12,21,1,193,204,3,401,54,347,56,,,,,,,,131,1,193,204,3,401,54,347,56,,,,,,,,131,,,,,,,,,,,,,,,,,,,
2015,110305,110343015,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110343015,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110343015,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2015,110305,110343015,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
2015,110305,110353017,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110353017,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342029,04,21,,11,14,,25,25,,,,,,,,,,,,11,14,,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,
2015,110307,110342029,05,21,,7,3,,10,,10,,,,,,,,,,,7,3,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342029,06,21,,9,4,,13,,13,,,,,,,,13,,,9,4,,13,,,,,,,,,,13,,,,,,,,,,,,,,,,,,6,6,
2015,110307,110342029,07,21,,5,7,,12,,12,,,,,,,,,,,6,7,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,
2015,110307,110342029,08,21,,6,5,,11,,11,,,,,,,,,,,6,5,,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1
2015,110307,110342029,09,21,,6,5,,11,,11,,,,,,,,,,,6,5,,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1
2015,110307,110342029,10,21,,8,7,,15,,15,,,,,,,,15,,,8,7,,15,,15,,,,,,,,15,,,,,,,,,,,,,,,,,,1,1,
2015,110307,110342029,11,21,,13,7,,20,2,18,,,,,,,,18,2,,13,7,,20,2,18,,,,,,,,18,2,,,,,,,,,,,,,,,,,,,
2015,110307,110342029,12,21,,16,12,,28,2,26,,,,,,,,23,3,,16,12,,28,2,26,,,,,,,,23,3,,,,,,,,,,,,,,,,,2,2,1
2015,110307,110342030,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342030,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342030,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,
2015,110307,110342030,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
2015,110307,110342030,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,1
2015,110307,110342030,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,
2015,110307,110342030,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,
2015,110307,110342030,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9,1
2015,110307,110342030,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342062,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
2015,110307,110342062,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
2015,110307,110342062,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
2015,110307,110342062,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342062,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
2015,110307,110342062,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342062,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
2015,110307,110342062,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342062,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
2015,110307,110343026,04,21,,7,7,,14,,14,,,,,,,,14,,,7,7,,14,,14,,,,,,,,14,,,,,,,,,,,,,,,,,,7,,
2015,110307,110343026,05,21,,2,2,,4,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2015,110307,110343026,06,21,,3,7,,10,5,5,,4,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
2015,110307,110343026,07,21,,9,5,,14,3,11,,3,,,,2,,9,,,9,5,,14,3,11,,3,,,,2,,9,,,,,,,,,,,,,,,,,,5,,
2015,110307,110343026,08,21,,15,13,,28,3,25,,,,,,6,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
2015,110307,110343026,09,21,,4,6,,10,1,9,,4,,,,1,,5,,,4,6,,10,1,9,,4,,,,1,,5,,,,,,,,,,,,,,,,,,10,,
2015,110307,110343026,10,21,,13,6,,19,2,17,,,,,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
2015,110307,110343026,11,21,,7,3,,10,,10,,,,,,2,,8,,,7,3,10,,,0,,,,,,2,,8,,,,,,,,,,,,,,,,,,2,,
2015,110307,110343026,12,21,,9,6,,15,,15,,,,,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2015,110307,110343027,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2015,110307,110343027,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
2015,110307,110343027,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
2015,110307,110343027,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
