cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cEJVVM_0609a,cEJVVM_1014a,cEJVVM_1524a,cEJVVM_TOTAL,cEJPBSAN_0609a,cEJPBSAN_1014a,cEJPBSAN_1524a,cEJPBSAN_TOTAL,cTESTKIT_NECHEFF,cTESTKIT_NTPOS,cFER_F,cFER_G,cFAF_F,cFAF_G
2015,110220,110241046,4,21,,,,,,,,,,,,,,
2015,110220,110241046,5,21,8,10,,18,6,8,,14,,,,,,
2015,110220,110241046,6,21,,,,,,,,,,,,,,
2015,110220,110241046,7,21,,,,,,,,,,,,,,
2015,110220,110241046,8,21,4,,,4,,,,,,,,,,
2015,110220,110241046,9,21,9,3,4,16,,,,,,,,,,
2015,110220,110241046,10,21,5,3,,8,4,2,,6,,,,,,
2015,110220,110241046,11,21,,,,,,,,,12,7,,,,
2015,110220,110241046,12,21,,,,,,,,,26,12,,,,
2015,110220,110242049,8,21,,,,,,,,,,,,,,
2015,110220,110242049,9,21,,,,,,,,,,,,,,
2015,110220,110242049,10,21,,,,,,,,,,,,,,
2015,110220,110242049,11,21,,,,,,,,,,,,,,
2015,110220,110242049,12,21,,,,,,,,,,,,,,
2015,110220,110243048,4,21,,,,,,,,,,,,,,
2015,110220,110243048,5,21,,,,,,,,,,,,,,
2015,110220,110243048,6,21,,,,,,,,,,,,,,
2015,110220,110243048,7,21,,,,,,,,,,,,,,
2015,110222,110242050,4,21,,,,,,,,,,,,,,
2015,110222,110242050,5,21,,,,,,,,,,,,,,
2015,110222,110242050,6,21,,,,,,,,,,,,,,
2015,110222,110242050,7,21,,,,,,,,,,,,,,
2015,110222,110242050,8,21,,,,,,,,,,,,,,
2015,110222,110242050,9,21,,,,,,,,,,,,,,
2015,110222,110242050,10,21,,,,,,,,,,,,,,
2015,110222,110242050,11,21,,,,,,,,,,,,,,
