cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0005m_ENFMES,c0005m_ENFPES,c0005m_ENFPESMES,c0005m_PA_INFM2ET,c0005m_PT_INFM3ET,c0005m_PT_SUP2ET,c0005m_TA_INFM2ET,c0005m_ADM,c0005m_GUERIS,c0005m_DCD,c0005m_ABD,c0005m_AUTSOR,c0611m_ENFMES,c0611m_ENFPES,c0611m_ENFPESMES,c0611m_PA_INFM2ET,c0611m_PT_INFM3ET,c0611m_PT_SUP2ET,c0611m_TA_INFM2ET,c0611m_ADM,c0611m_GUERIS,c0611m_DCD,c0611m_ABD,c0611m_AUTSOR,c1223m_ENFMES,c1223m_ENFPES,c1223m_ENFPESMES,c1223m_PA_INFM2ET,c1223m_PT_INFM3ET,c1223m_PT_SUP2ET,c1223m_TA_INFM2ET,c1223m_ADM,c1223m_GUERIS,c1223m_DCD,c1223m_ABD,c1223m_AUTSOR,c2459m_ENFMES,c2459m_ENFPES,c2459m_ENFPESMES,c2459m_PA_INFM2ET,c2459m_PT_INFM3ET,c2459m_PT_SUP2ET,c2459m_TA_INFM2ET,c2459m_ADM,c2459m_GUERIS,c2459m_DCD,c2459m_ABD,c2459m_AUTSOR,cSNETOT_ENFMES,cSNETOT_ENFPES,cTotal_ENFPESMES,cSNETOT_PA_INFM2ET,cSNETOT_PT_INFM3ET,cSNETOT_PT_SUP2ET,cSNETOT_TA_INFM2ET,cSNETOT_ADM,cSNETOT_GUERIS,cSNETOT_DCD,cSNETOT_ABD,cSNETOT_AUTSOR,c0005m_VITA,c0005m_ALB,c0611m_VITA,c0611m_ALB,c1259m_VITA,c1259m_ALB,cSSMETOT_VITA,cSSMETOT_ALB
2015,110305,110343014,06,21,,9,38,,,,,,,,,,14,6,14,,,,1,,,,,,,7,3,,,,,,,,,,,10,3,,,,,,,,,,,32,58,,,,1,,,,,,,,,,,5,,5
2015,110305,110343014,07,21,,6,35,,,,,,,,,,,7,13,1,,,,,,,,,,8,1,,,,,,,,,,,16,,,,,,,,,,,,37,49,1,,,,,,,,,,,,,,11,,11
2015,110305,110343014,08,21,,4,41,,,,,,,,,,,13,10,,,,,,,,,,,8,2,,,,,,,,,,,8,,,,,,,,,,,,33,53,,,,,,,,,,,,,,,10,,10
2015,110305,110343014,09,21,,6,27,,,,,,,,,,,8,14,,,,,,,,,,,14,1,,,,,,,,,,,4,,,,,,,,,,,,32,42,,,,,,,,,,,,,,,6,,6
2015,110305,110343014,10,21,,10,42,1,,,,,,,,,,8,23,,,,,,,,,,,15,3,,,,,,,,,,,19,,,,,,,,,,,,52,68,1,,,,,,,,,,,,,,8,,8
2015,110305,110343014,11,21,,10,26,1,,,,,,,,,,3,2,,,,,,,,,,,10,3,,,,,,,,,,,10,,,,,,,,,,,,33,31,1,,,,,,,,,,,,,,,,
2015,110305,110343014,12,21,,9,49,,,,,,,,,,,10,19,,,,,,,,,,,23,3,,,,,,,,,,,22,,,,,,,,,,,,64,71,,,,,,,,,,,,,,,15,,15
2015,110305,110343015,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110343015,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110343015,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110305,110343015,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342029,04,21,,74,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,
2015,110307,110342029,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342029,06,21,,45,,,,,,,,,,,,54,54,1,,,,,,,,,,15,15,1,,,,,,,,,,,,,,,,,,,,,,114,69,2,,,,,,,,,,,,,,,,
2015,110307,110342029,07,21,,37,,,,,,,,,,,,42,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,
2015,110307,110342029,08,21,,44,,,,,,,,,,,,57,,,,,,,,,,,,19,,1,,,,,,,,,,7,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,
2015,110307,110342029,09,21,,39,,1,,,,,,,,,,53,,3,,,,,,,,,,25,,5,,,,,,,,,,6,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,
2015,110307,110342029,10,21,,61,,1,,,,,,,,,,62,,4,,,,,,,,,,26,,1,,,,,,,,,,6,,,,,,,,,,,,155,,6,,,,,,,,,,,,,,,,
2015,110307,110342029,12,21,,74,,3,,,,,,,,,,101,,12,,,,,,,,,,23,,4,,,,,,,,,,3,,1,,,,,,,,,,201,,20,,,,,,,,,,,,,,,,
2015,110307,110342030,04,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342030,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342030,06,21,4,4,4,,,,,,,,,,2,2,2,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,6,13,6,,,,,,,,,,,,,,,,,
2015,110307,110342030,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110307,110342030,08,21,,2,,,,,,,,,,,,4,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
2015,110307,110342030,09,21,2,2,2,,,,,,,,,,2,2,2,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,4,9,4,,,,,,,,,,,,,,,,,
