cAnnee,cCodeNiv,cCodeStru,uid_dhis2,cPeriode,cTypeRapport,cSRO_NJRS
2015,110218,110243028,DCDDiGBMYTr,04,21,
2015,110218,110243028,DCDDiGBMYTr,05,21,
2015,110218,110243028,DCDDiGBMYTr,06,21,
2015,110218,110243028,DCDDiGBMYTr,07,21,
2015,110218,110243028,DCDDiGBMYTr,08,21,
2015,110218,110243028,DCDDiGBMYTr,10,21,
2015,110219,110241045,BfX186uCQN4,04,21,
2015,110219,110241045,BfX186uCQN4,05,21,
2015,110219,110241045,BfX186uCQN4,06,21,
2015,110219,110241045,BfX186uCQN4,07,21,
2015,110219,110241045,BfX186uCQN4,08,21,
2015,110219,110241045,BfX186uCQN4,09,21,
2015,110219,110241045,BfX186uCQN4,10,21,
2015,110219,110241045,BfX186uCQN4,11,21,
2015,110219,110241045,BfX186uCQN4,12,21,
2015,110220,110241046,OCmdCAW2YtT,04,21,
2015,110220,110241046,OCmdCAW2YtT,05,21,
2015,110220,110241046,OCmdCAW2YtT,06,21,
2015,110220,110241046,OCmdCAW2YtT,07,21,
2015,110220,110241046,OCmdCAW2YtT,08,21,6
2015,110220,110241046,OCmdCAW2YtT,09,21,
2015,110220,110241046,OCmdCAW2YtT,10,21,
2015,110220,110241046,OCmdCAW2YtT,11,21,
2015,110220,110241046,OCmdCAW2YtT,12,21,
2015,110220,110242049,hiE8lkCVQQ3,07,21,
2015,110220,110242049,hiE8lkCVQQ3,08,21,
2015,110220,110242049,hiE8lkCVQQ3,09,21,
2015,110220,110242049,hiE8lkCVQQ3,10,21,
2015,110220,110242049,hiE8lkCVQQ3,12,21,
2015,110220,110243048,DkRsc38dvX6,04,21,
2015,110220,110243048,DkRsc38dvX6,05,21,
2015,110220,110243048,DkRsc38dvX6,06,21,
2015,110220,110243048,DkRsc38dvX6,07,21,
2015,110222,110242050,BgcvhBSia7h,04,21,
2015,110222,110242050,BgcvhBSia7h,05,21,
2015,110222,110242050,BgcvhBSia7h,07,21,
2015,110222,110242050,BgcvhBSia7h,08,21,
2015,110222,110242050,BgcvhBSia7h,09,21,
2015,110222,110242050,BgcvhBSia7h,10,21,
2015,110222,110242050,BgcvhBSia7h,11,21,
2015,110222,110242050,BgcvhBSia7h,12,21,
2015,110222,110242051,oOpta1ylyYF,08,21,
2015,110222,110242051,oOpta1ylyYF,09,21,
2015,110222,110242051,oOpta1ylyYF,10,21,
2015,110222,110242051,oOpta1ylyYF,11,21,
2015,110222,110243052,grGJleGj6f7,08,21,
2015,110222,110243052,grGJleGj6f7,09,21,
2015,110222,110243052,grGJleGj6f7,10,21,
2015,110222,110243052,grGJleGj6f7,11,21,
2015,110222,110243052,grGJleGj6f7,12,21,
2015,110222,110243053,iDdif5pBsu7,04,21,
2015,110222,110243053,iDdif5pBsu7,05,21,
2015,110222,110243053,iDdif5pBsu7,06,21,
2015,110222,110243053,iDdif5pBsu7,07,21,
2015,110222,110243053,iDdif5pBsu7,08,21,
2015,110222,110243053,iDdif5pBsu7,09,21,
2015,110222,110243053,iDdif5pBsu7,10,21,
2015,110222,110243053,iDdif5pBsu7,11,21,
2015,110223,110241054,KnJxE4FaUJD,04,21,
2015,110223,110241054,KnJxE4FaUJD,05,21,
2015,110223,110241054,KnJxE4FaUJD,06,21,
2015,110223,110241054,KnJxE4FaUJD,07,21,
2015,110223,110241054,KnJxE4FaUJD,08,21,
2015,110223,110241054,KnJxE4FaUJD,09,21,
2015,110223,110241054,KnJxE4FaUJD,10,21,
2015,110223,110241054,KnJxE4FaUJD,11,21,
2015,110223,110241054,KnJxE4FaUJD,12,21,
2015,110224,110241055,ZkL1vXcLmoL,04,21,
2015,110224,110241055,ZkL1vXcLmoL,05,21,
2015,110224,110241055,ZkL1vXcLmoL,06,21,
2015,110224,110241055,ZkL1vXcLmoL,07,21,
2015,110224,110241055,ZkL1vXcLmoL,08,21,
2015,110224,110241055,ZkL1vXcLmoL,09,21,
2015,110224,110241055,ZkL1vXcLmoL,10,21,
2015,110224,110241055,ZkL1vXcLmoL,11,21,
2015,110224,110241055,ZkL1vXcLmoL,12,21,
2015,110225,110241056,UoEmngwIUle,04,21,
2015,110225,110241056,UoEmngwIUle,05,21,
2015,110225,110241056,UoEmngwIUle,06,21,
2015,110225,110241056,UoEmngwIUle,07,21,
2015,110225,110241056,UoEmngwIUle,08,21,
2015,110225,110241056,UoEmngwIUle,09,21,30
2015,110225,110241056,UoEmngwIUle,10,21,
2015,110225,110241056,UoEmngwIUle,11,21,
2015,110225,110241056,UoEmngwIUle,12,21,
2015,110225,110242057,IGVmAfq7at8,07,21,
2015,110225,110242057,IGVmAfq7at8,08,21,
2015,110225,110242057,IGVmAfq7at8,09,21,
2015,110225,110242057,IGVmAfq7at8,10,21,
2015,110225,110242057,IGVmAfq7at8,11,21,
2015,110225,110242057,IGVmAfq7at8,12,21,
2015,110225,110242062,GU2KQ3d5w96,08,21,
2015,110225,110242062,GU2KQ3d5w96,09,21,
2015,110225,110242062,GU2KQ3d5w96,10,21,
2015,110225,110242062,GU2KQ3d5w96,11,21,
2015,110225,110242062,GU2KQ3d5w96,12,21,
2015,110225,110243059,Cp8EILGlLyJ,08,21,
2015,110225,110243059,Cp8EILGlLyJ,09,21,
2015,110225,110243059,Cp8EILGlLyJ,10,21,
2015,110225,110243059,Cp8EILGlLyJ,11,21,
2015,110225,110243059,Cp8EILGlLyJ,12,21,
2015,110225,110243060,J0UHdmYFg4P,07,21,
2015,110225,110243060,J0UHdmYFg4P,08,21,
2015,110225,110243060,J0UHdmYFg4P,09,21,
2015,110225,110243060,J0UHdmYFg4P,10,21,
2015,110225,110243060,J0UHdmYFg4P,11,21,
2015,110225,110243061,YBZQESzyNqq,08,21,
2015,110225,110243061,YBZQESzyNqq,09,21,
2015,110225,110243061,YBZQESzyNqq,10,21,
2015,110225,110243061,YBZQESzyNqq,11,21,
2015,110225,110243061,YBZQESzyNqq,12,21,
2015,110225,110243063,bfJFiHlVspF,04,21,
2015,110225,110243063,bfJFiHlVspF,05,21,
2015,110225,110243063,bfJFiHlVspF,06,21,
2015,110225,110243063,bfJFiHlVspF,07,21,
2015,110225,110243063,bfJFiHlVspF,08,21,
2015,110225,110243063,bfJFiHlVspF,09,21,
2015,110225,110243063,bfJFiHlVspF,10,21,
2015,110225,110243063,bfJFiHlVspF,11,21,
2015,110225,110243063,bfJFiHlVspF,12,21,
2015,110226,110241064,dv1qGcmKzsG,04,21,
2015,110226,110241064,dv1qGcmKzsG,05,21,
2015,110226,110241064,dv1qGcmKzsG,06,21,
2015,110226,110241064,dv1qGcmKzsG,07,21,
2015,110226,110241064,dv1qGcmKzsG,08,21,
2015,110226,110241064,dv1qGcmKzsG,09,21,
2015,110226,110241064,dv1qGcmKzsG,10,21,
2015,110226,110241064,dv1qGcmKzsG,11,21,
2015,110226,110241064,dv1qGcmKzsG,12,21,
2015,110226,110241065,olMfnejm4hZ,04,21,
2015,110226,110241065,olMfnejm4hZ,05,21,
2015,110226,110241065,olMfnejm4hZ,06,21,
2015,110226,110241065,olMfnejm4hZ,07,21,
2015,110226,110241065,olMfnejm4hZ,08,21,
2015,110226,110241065,olMfnejm4hZ,09,21,
2015,110226,110241065,olMfnejm4hZ,10,21,
2015,110226,110241065,olMfnejm4hZ,11,21,
2015,110226,110241065,olMfnejm4hZ,12,21,
2015,110301,110341001,COuvP3fuWiQ,04,21,
2015,110301,110341001,COuvP3fuWiQ,05,21,
2015,110301,110341001,COuvP3fuWiQ,06,21,
2015,110301,110341001,COuvP3fuWiQ,10,21,
2015,110301,110341001,COuvP3fuWiQ,11,21,
2015,110301,110342055,puxA0WwUs6I,08,21,
2015,110302,110341002,XBjOJMyxOBm,05,21,
2015,110302,110341002,XBjOJMyxOBm,06,21,
2015,110302,110341002,XBjOJMyxOBm,07,21,
2015,110302,110341002,XBjOJMyxOBm,08,21,
2015,110302,110341002,XBjOJMyxOBm,11,21,
2015,110302,110341002,XBjOJMyxOBm,12,21,
2015,110302,110341003,fophNBSBIV3,05,21,
2015,110302,110341003,fophNBSBIV3,06,21,
2015,110302,110341003,fophNBSBIV3,07,21,
2015,110302,110341003,fophNBSBIV3,08,21,
2015,110302,110341003,fophNBSBIV3,11,21,
2015,110302,110341003,fophNBSBIV3,12,21,
2015,110303,110341006,FMcbz4XiCpK,04,21,
2015,110303,110341006,FMcbz4XiCpK,05,21,
2015,110303,110341006,FMcbz4XiCpK,06,21,
2015,110303,110341006,FMcbz4XiCpK,07,21,
2015,110303,110341006,FMcbz4XiCpK,11,21,
2015,110304,110341011,wLFlXm6mVQm,04,21,
2015,110304,110341011,wLFlXm6mVQm,05,21,
2015,110304,110341011,wLFlXm6mVQm,06,21,
2015,110304,110341011,wLFlXm6mVQm,07,21,
2015,110304,110341011,wLFlXm6mVQm,08,21,
2015,110304,110341012,rwFELZS0RhH,05,21,
2015,110304,110341012,rwFELZS0RhH,06,21,
2015,110304,110341012,rwFELZS0RhH,07,21,
2015,110304,110341012,rwFELZS0RhH,11,21,
2015,110305,110341005,Tm9QFhzR3bx,05,21,
2015,110305,110341005,Tm9QFhzR3bx,07,21,
2015,110305,110341005,Tm9QFhzR3bx,08,21,
2015,110305,110341005,Tm9QFhzR3bx,09,21,
2015,110306,110341023,rrOv01OPAv1,04,21,
2015,110306,110341023,rrOv01OPAv1,05,21,
2015,110306,110341023,rrOv01OPAv1,06,21,
2015,110306,110341023,rrOv01OPAv1,07,21,
2015,110306,110341023,rrOv01OPAv1,09,21,
2015,110307,110341025,beDFcztbYhm,04,21,
2015,110307,110341025,beDFcztbYhm,05,21,
2015,110307,110341025,beDFcztbYhm,06,21,
2015,110307,110341025,beDFcztbYhm,07,21,
2015,110307,110341025,beDFcztbYhm,08,21,
2015,110307,110341025,beDFcztbYhm,10,21,
2015,110308,110341031,Uga8br8wYTn,04,21,
2015,110308,110341031,Uga8br8wYTn,05,21,
2015,110308,110341031,Uga8br8wYTn,06,21,
2015,110308,110341031,Uga8br8wYTn,07,21,
2015,110308,110341031,Uga8br8wYTn,08,21,
2015,110308,110341031,Uga8br8wYTn,11,21,
2015,110308,110351032,Wz0YEEMxFFq,04,21,
2015,110308,110351032,Wz0YEEMxFFq,05,21,
2015,110308,110351032,Wz0YEEMxFFq,06,21,30
2015,110308,110351032,Wz0YEEMxFFq,07,21,
2015,110308,110351032,Wz0YEEMxFFq,12,21,
2015,110308,110351033,W3yWoCllPZo,04,21,
2015,110308,110351033,W3yWoCllPZo,05,21,
2015,110308,110351033,W3yWoCllPZo,06,21,
2015,110308,110351033,W3yWoCllPZo,07,21,
2015,110308,110351033,W3yWoCllPZo,08,21,
2015,110309,110341034,CJ6nnmUxJN4,05,21,
2015,110309,110341034,CJ6nnmUxJN4,06,21,
2015,110309,110341034,CJ6nnmUxJN4,07,21,
2015,110309,110341034,CJ6nnmUxJN4,11,21,
2015,110311,110341037,ze8WAgX4VYK,04,21,
2015,110311,110341037,ze8WAgX4VYK,05,21,
2015,110311,110341037,ze8WAgX4VYK,07,21,
2015,110311,110341037,ze8WAgX4VYK,08,21,
